LEVEL1,LEVEL2,LEVEL3,2018
"City of Chicago","Municipal Employees' Annuity and Benefit Fund (MEABF) - Property Tax Levy",Pension,119400000
"City of Chicago","Laborers' and Retirement Board Employees' Annuity and Benefit Fund (LABF)",Pension,11100000
"City of Chicago","Policemens' Annuity and Benefit Fund (PABF)",Pension,546600000
"City of Chicago","Firemens' Annuity and Benefit Fund (FABF)",Pension,233100000
"City of Chicago","General Obligation Bond Redemption and Interest Fund",Debt,415000000
"City of Chicago","City College Bond Redemption and Interest Fund",Debt,35700000
"City Colleges","Educational, Liability, Fin Accounting and Operations/Maintenance Funds",General,125531380
"Chicago Public Library","Municipal Employees' Annuity and Benefit Fund (MEABF) - Portion of Library Property Tax Levy",Pension,5300000
"Chicago Public Library","Library Bond Redemption and Interest Fund",Debt,4200000
"Chicago Public Library","Library Daily Tender Note Redemption and Interest Fund",Debt,85900000
"Park District","Pension Expense",Pension,27587693
"Park District","Principal Payment Bond Debt Service",Debt,28615000
"Park District","Interest Expense",Debt,41990116
"Park District","Remittance to Zoo",General,5590000
"Park District","Remittance to Aquarium & Museum",General,26649204
"Park District","Special Program Expense",General,549972
"Park District","General Park District Expenses",General,143133385
"Cook County","Corp Fund Property Tax Levy",General,0
"Cook County","Public Safety Property Tax Levy",General,95500000
"Cook County","Health Fund Property Tax Levy",General,36600000
"Cook County","Board of Election Commissioners Election Fund",General,21100000
"Cook County","Cook County Bond and Interest",Debt,136700000
"Cook County","Cook County Employees' Annuity and Benefits Fund",Pension,81900000
"Cook County","Capital Projects",Capital,0
"Cook County","Other Cook County Expenses",General,0
"Water Reclamation","Corporate Fund",General,124000000
"Water Reclamation","Construction Fund",General,6000000
"Water Reclamation","Stormwater Management Fund",General,24700000
"Water Reclamation","Retirement Fund",General,36900000
"Water Reclamation","Reserve Claim Fund",General,3100000
"Water Reclamation","Bond Redemption and Interest Fund",Debt,125800000
"Forest Preserve","CCF Corporate Fund",General,25700000
"Forest Preserve","Bond & Interest",Debt,6000000
"Forest Preserve","Employee Annuity & Benefit",Pension,1900000
"Forest Preserve","Chicago Zoological",General,7400000
"Forest Preserve","Chicago Horticultural",General,4600000
"Forest Preserve","2018 Construction & Development",Capital,3100000
"Chicago Public Schools","General Fund",General,2808700000
"Chicago Public Schools","General Fund",Pension,610200000
"Chicago Public Schools","Debt Fund",Debt,95600000
"Chicago Public Schools","Capital Fund",Capital,5100000
"City of Chicago","TIF Revenue for Infrastructure / Development",Capital,326200000
"City of Chicago","TIF Surplus - Balance Budget",General,40000000
"Chicago Public Schools","TIF Surplus - Public Safety Costs",General,88000000
"Park District","TIF Surplus",General,9179500
"Water Reclamation","TIF Surplus",General,9500000
"Forest Preserve","TIF Surplus",General,500000
"Cook County","TIF Surplus - Includes Non-Chicago?",General,12500000
"City of Chicago","TIF Surplus - Unknown Remainder",General,7220500